CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL;PÁGINA
EN2714;Acionamentos Elétricos;3;2;4;34
EN3448;Acumuladores de Energia;2;0;5;34
CS2121;Administração Municipal e Desenvolvimento Local;4;0;4;35
CS2122;Administração Pública e Reforma do Estado em Perspectiva Comparada;4;0;4;36
EN3219;Aeroacústica;3;0;5;37
EN2213;Aerodinâmica I;4;0;5;38
EN3218;Aerodinâmica II;4;0;5;39
EN2210;Aeroelasticidade;4;0;5;39
EN2208;Aeronáutica I-A;3;1;3;40
EN3203;Aeronáutica I-B;3;1;4;41
EN3204;Aeronáutica II;3;1;4;41
BC1425;Álgebra Linear;6;0;5;42
MC1301;Álgebra Linear Avançada I;4;0;4;43
MC1101;Álgebra Linear Avançada II;4;0;4;43
BC1424;Algoritmos e Estruturas de Dados I;2;2;4;44
MC3305;Algoritmos e Estruturas de Dados II;2;2;4;45
MC2105;Análise Complexa;4;0;4;45
BH1150;Análise da Conjuntura Internacional Contemporânea;4;0;4;46
CS4101;Análise da Produção do Espaço e Políticas Públicas Urbanas;4;0;4;47
BC1435;Análise de Algoritmos;4;0;4;48
EN3534;Análise de Balanço;2;2;4;48
MC7103;Análise de Projeto;2;0;2;49
EN3450;Análise de Redes de Transporte e Distribuição de Energia;4;0;5;49
MC2302;Análise de Regressão;3;1;4;50
EN2706;Análise de Sistemas Dinâmicos Lineares;3;0;4;50
EN4109;Análise de Sistemas e Modelagem Ambiental;1;3;4;51
EN3316;Análise e Controle de Sistemas Mecânicos;3;2;4;51
BH1116;Análise Econômica de Projetos;3;0;3;52
EN2421;Análise Econômica de Projetos Energéticos;4;0;5;53
MC2303;Análise Multivariada;4;0;4;54
MC1306;Análise no Rn I;4;0;4;54
MC2102;Análise no Rn II;4;0;4;55
MC2208;Análise Numérica;4;0;4;55
BC1421;Análise Real I;4;0;4;56
MC1201;Análise Real II;4;0;4;56
MC1305;Anéis e Corpos;4;0;4;57
EN3214;Aplicações de Elementos Finitos para Engenharia;3;0;4;58
EN3310;Aplicações de Lasers em Ciências da Vida e Saúde Humana;3;2;4;58
MC5004;Aprendizado de Máquina;4;0;4;59
EN3429;Aproveitamento Energético do Hidrogênio;3;0;3;60
EN4024;Argumentação e Solução de Conflitos;2;0;2;60
BC1503;Arquitetura de Computadores;4;0;4;61
MC4003;Arquitetura de Computadores de Alto Desempenho;4;0;4;62
BH1343;Arranjos Institucionais e Marco Regulatório do Território;2;0;2;62
CS4103;Arte, Ciência, Tecnologia e Política;4;0;4;63
EN3303;Aspectos Humanísticos no Uso de Tecnologia na Saúde;2;0;4;64
NH1002;Astrobiologia;2;0;2;65
MC8400;Atenção e Estados de Consciência;2;0;2;65
EN3405;Automação de Sistemas Elétricos de Potência;3;0;4;66
EN2713;Automação de Sistemas Industriais;3;1;4;67
MC6004;Avaliação de Desempenho de Redes;3;1;4;67
EN2125;Avaliação de Impactos Ambientais;3;0;3;68
BH1122;Avaliação e Monitoramento de Políticas Públicas;4;0;4;69
MC3310;Banco de Dados;4;2;4;70
MC5005;Banco de Dados de Apoio à Tomada de Decisão;3;1;4;70
BC0001;Base Experimental das Ciências Naturais;2;3;2;71
BC0005;Bases Computacionais da Ciência;2;2;2;72
BC0004;Bases Epistemológicas da Ciência Moderna;3;0;4;72
BC0003;Bases Matemáticas;4;0;5;74
MC8000;Bases Neurais da Motricidade;4;0;4;75
EN3301;Bioestatística;3;0;4;75
BC1604;Bioética;2;0;2;76
BC1308;Biofísica;4;0;4;77
NH1703;Biologia Animal I;3;2;3;77
NH1803;Biologia Animal II;3;2;3;78
NH1903;Biologia Animal III;3;2;3;79
BC1307;Biologia Celular;3;2;4;80
NH1003;Biologia do Desenvolvimento;2;2;4;80
BC1320;Biologia Molecular e Biotecnologia;3;0;3;81
NH1702;Biologia Vegetal I;3;2;3;82
NH1802;Biologia Vegetal II;3;2;3;82
NH1902;Biologia Vegetal III;3;2;3;83
EN4111;Biomas e Gestão de Ecossistemas;3;0;3;83
EN3830;Biomateriais;3;1;4;84
MC2304;Biometria;3;1;4;85
BC1328;Bioquímica Experimental;2;4;6;85
BC1326;Bioquímica Funcional;4;2;4;86
EN2315;Biossegurança;3;0;3;87
EN3418;Biotecnologia: Produção de Combustíveis a Partir de Fontes Renováveis;2;0;4;88
EN3814;Blendas Poliméricas e Aditivação de Polímeros;4;0;4;89
NH1013;Botânica Econômica;2;2;2;89
BC1433;Cálculo Avançado;4;0;4;90
BC1499;Cálculo Numérico;4;0;4;90
BC1418;Cálculo Vetorial e Tensorial;4;0;4;91
MC0201;Caos e Fractais;3;1;4;92
EN2317;Caracterização de Biomateriais;3;2;4;92
EN2820;Caracterização de Materiais;2;2;4;93
EN2113;Cartografia e Geoprocessamento;1;3;3;94
BH1408;Cartografia e Geoprocessamento para o Planejamento Territorial;2;3;3;95
EN3428;Células a Combustível;2;0;4;96
EN3409;Centrais Termoelétricas;2;0;4;96
EN3820;Cerâmicas Especiais e Refratárias;4;0;4;97
EN4017;Cibercultura;2;0;2;97
BH1107;Cidadania, Direitos e Desigualdades;4;0;4;98
EN4121;Cidades, Globalização e Projetos Urbanos;3;0;3;100
EN2810;Ciência dos Materiais;4;0;4;101
BC1621;Ciência na Antiguidade e Período Medieval;4;0;4;101
BC0603;Ciência, Tecnologia e Sociedade;3;0;4;103
BC1106;Ciências Atmosféricas;4;0;4;104
EN4001;Cinema e Conhecimento;2;0;3;105
EN3211;Cinemática e Dinâmica de Mecanismos;3;0;4;106
BC1517;Circuitos Digitais;3;1;4;106
BC1519;Circuitos Elétricos e Fotônica;3;1;5;107
EN2703;Circuitos Elétricos I;3;2;4;107
EN2705;Circuitos Elétricos II;3;2;4;108
EN3707;Circuitos Hidráulicos e Pneumáticos;3;1;4;109
NH1004;Citogenética Básica;3;2;2;109
EN3513;Clima e Cultura Organizacional;2;0;3;110
EN2127;Climatologia;3;0;4;110
EN3413;Cogeração;4;0;4;111
EN2214;Combustão I;3;1;4;112
EN3221;Combustão II;2;1;4;112
MC3201;Compiladores;3;1;4;113
BC1506;Computação Evolutiva e Conexionista;4;0;4;114
BC1515;Computação Gráfica;3;1;4;114
MC3307;Computadores, Ética e Sociedade;2;0;4;115
EN2611;Comunicação Digital;3;1;4;115
BC0506;Comunicação e Redes;3;0;4;116
BC1620;Comunicação, Ciência e Tecnologia;3;0;3;117
EN2620;Comunicações Móveis;3;1;4;118
EN2616;Comunicações Multimídia;2;1;4;119
EN2614;Comunicações Ópticas;3;1;4;120
