CÓDIGO;DISCIPLINA;TEORIA;PRATICA;INDIVIDUAL;CRÉDITOS;RECOMENDAÇÕES;CATEGORIA
BC1425;Álgebra Linear;6;0;5;6;Geometria Analítica;OB
BC1424;Algoritmos e Estruturas de Dados I;2;2;4;4;Programação Orientada a Objetos;OL
EN3630;Aplicações de Microcontroladores;0;4;4;4;"Sistemas Microprocessado; Eletrônica Analógica Aplicada";OL
EN3626;Aplicações Multimídia em Voz, Áudio e Acústica;3;1;4;4;Introdução ao Processamento de Sinais de Voz, Áudio e Acústicos;OL
BC0001;Base Experimental das Ciências Naturais;0;3;2;3;;OB
BC0005;Bases Computacionais da Ciência;0;2;2;2;;OB
BC0004;Bases Epistemológicas da Ciência Moderna;3;0;4;3;;OB
BC0003;Bases Matemáticas;4;0;5;4;;OB
BC1419;Cálculo Numérico;3;1;4;4;Funções de Uma Variável;OB
BC0603;Ciência, Tecnologia e Sociedade;3;0;4;3;;OB
BC1519;Circuitos Elétricos e Fotônica;3;1;5;4;Fenômenos Eletromagnéticos;OB
EN2703;Circuitos Elétricos I;3;2;4;5;Circuitos Elétricos e Fotônica;OB
EN2611;Comunicação Digital;3;1;4;4;"Princípios de Comunicação; Sinais Aleatórios";OB
BC0506;Comunicação e Redes;3;0;4;3;;OB
EN2620;Comunicações Móveis;3;1;4;4;"Comunicação Digital; Propagação e Antenas";OB
EN2621;Comunicações Multimídia;2;2;4;4;Processamento Digital de Sinais;OB
EN2614;Comunicações Ópticas;3;1;4;4;Circuitos Elétricos e Fotônica;OB
EN2719;Dispositivos Eletrônicos;3;2;4;5;Circuitos Elétricos e Fotônica;OB
EN2720;Eletrônica Analógica Aplicada;3;2;4;5;Dispositivos Eletrônicos;OB
EN2605;Eletrônica Digital;4;2;4;6;Circuitos Elétricos e Fotônica;OB
BC0207;Energia: Origens, Conversão e Uso;2;0;4;2;;OB
EN3631;Engenharia de Sistemas de Comunicação e Missão Crítica;2;2;4;4;Processamento da Informação;OL
BC1508;Engenharia de Software;4;2;4;6;Algoritmos e Estruturas de Dados I;OL
BC1713;Engenharia Econômica;2;1;3;3;Não há;OB
EN1002;Engenharia Unificada I;0;3;5;3;Todas as disciplinas de Opção Limitada do BC&T (Obrigatórias para todas as Engenharias);OB
EN1004;Engenharia Unificada II;0;3;5;3;Engenharia Unificada I;OB
EN1601;Estágio Curricular I em Engenharia de Informação;0;7;0;7;Ver resolução de Estágio específica para o curso;OB
EN1602;Estágio Curricular II em Engenharia de Informação;0;7;0;7;Estágio Curricular I;OB
BC0102;Estrutura da Matéria;3;0;4;3;;OB
BC0602;Estrutura e Dinâmica Social;3;0;4;3;;OB
BC0209;Fenômenos Eletromagnéticos;3;2;6;5;;OB
BC0208;Fenômenos Mecânicos;3;2;6;5;;OB
BC0205;Fenômenos Térmicos;3;1;4;4;;OB
EN3604;Filtragem Adaptativa;3;1;4;4;"Sinais Aleatórios; Processamento Digital de Sinais";OL
BC0103;Física Quântica;3;0;4;3;;OB
BC0402;Funções de Uma Variável;4;0;6;4;;OB
BC0407;Funções de Várias Variáveis;4;0;4;4;;OB
BC1416;Fundamentos de Desenho e Projeto;1;3;4;4;Não há;OB
EN3622;Fundamentos de Processamento Gráfico;3;1;4;4;"Geometria Analítica; Álgebra Linear; Processamento da Informação; Programação de Software Embarcado";OL
BC0404;Geometria Analítica;3;0;6;3;;OB
