CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL;CRÉDITOS;RECOMENDAÇÕES;CATEGORIA
MCTB001-13;Álgebra Linear;6;0;5;6;Geometria Analítica;OB
MCTA001-13;Algoritmos e Estruturas de Dados I;2;2;4;4;Programação Estruturada;OB
MCTA002-13;Algoritmos e Estruturas de Dados II;2;2;4;4;Algoritmos e Estruturas de Dados I;OB
ESZI025-17;Aplicações de Microcontroladores;0;4;4;4;"Sistemas Microprocessado; Eletrônica Analógica Aplicada";OB
ESZI037-17;Aplicações em Voz, Áudio e Acústica;3;1;4;4;Introdução ao Processamento de Sinais de Voz, Áudio e Acústicos;OB
MCTA004-13;Arquitetura de Computadores;4;0;4;4;"Circuitos Digitais; Sistemas Digitais";OB
MCTA005-13;Banco de Dados;4;0;4;4;Algoritmos e Estruturas de Dados I;OB
BCS0001-15;Base Experimental das Ciências Naturais;0;3;5;3;Não há;OB
BIS0005-15;Bases Computacionais da Ciência;0;2;2;2;Não há;OB
BIJ0207-15;Bases Conceituais da Energia;2;0;4;2;Não há;OB
BIR0004-15;Bases Epistemológicas da Ciência Moderna;3;0;4;3;Não há;OB
BIS0003-15;Bases Matemáticas;4;0;5;4;Não há;OB
BCL0306-15;Biodiversidade: Interações entre Organismos e Ambiente;3;0;4;3;Não há;OB
BCL0308-15;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas;3;2;6;5;"Estrutura da Matéria; Transformações Químicas";OB
MCTB009-13;Cálculo Numérico;3;1;4;4;"Funções de Uma Variável; Processamento da Informação";OB
BIR0603-15;Ciência, Tecnologia e Sociedade;3;0;4;3;Não há;OB
ESTA002-17;Circuitos Elétricos I;3;2;4;5;Fenômenos Eletromagnéticos;OB
ESTA004-17;Circuitos Elétricos II;3;2;4;5;Circuitos Elétricos I;OB
ESTI019-17;Codificação de Sinais Multimídia;2;2;4;4;"Programação Estruturada; Processamento Digital de Sinais";OB
ESTI007-17;Comunicação Digital;3;1;4;4;"Princípios de Comunicação; Sinais Aleatórios";OB
